iso3c,score,value_start,year_start,value_end,year_end
CHN,3,84,2000,91,2023
KAZ,2,74,2000,81,2023
UZB,3,77,2000,78,2023
MNG,3,74,2000,76,2023
KHM,2,36,2000,74,2023
TUR,3,57,2000,72,2023
IND,2,64,2000,70,2023
NRU,2,55,2000,65,2023
GEO,3,49,2000,63,2023
MDV,4,38,2000,52,2023
