iso3c,score,value_start,year_start,value_end,year_end
PRY,2,79,2000,84,2023
BTN,5,68,2000,80,2023
SUR,2,63,2000,76,2023
MNG,4,74,2000,76,2023
ZMB,2,59,2000,74,2023
MAR,3,52,2000,73,2023
SLE,2,41,2000,70,2023
LAO,3,42,2000,70,2023
CPV,3,64,2000,70,2023
IND,3,64,2000,70,2023
BGD,2,39,2000,66,2023
TLS,2,48,2000,66,2023
MOZ,3,50,2000,63,2023
ETH,2,17,2000,43,2023
