start,code,year,flfp,time,timec
22.5,SAU,2016,23.7,307.012015762016,308.012015762016
22.5,SAU,2022,35.4,307.012015762016,314.012015762016
22.5,SAU,2015,22.5,307.012015762016,307.012015762016
22.5,SAU,2019,25.3,307.012015762016,311.012015762016
22.5,SAU,2018,22.7,307.012015762016,310.012015762016
22.5,SAU,2021,35.5,307.012015762016,313.012015762016
22.5,SAU,2025,34.9,307.012015762016,317.012015762016
22.5,SAU,2024,34.6,307.012015762016,316.012015762016
22.5,SAU,2020,30.4,307.012015762016,312.012015762016
22.5,SAU,2023,35.6,307.012015762016,315.012015762016
22.6,STP,2016,22.7,307.637015762016,308.637015762016
22.6,STP,2017,22.8,307.637015762016,309.637015762016
22.6,STP,2025,22.8,307.637015762016,317.637015762016
22.6,STP,2019,23.2,307.637015762016,311.637015762016
22.6,STP,2022,23,307.637015762016,314.637015762016
22.6,STP,2015,22.6,307.637015762016,307.637015762016
22.6,STP,2018,23,307.637015762016,310.637015762016
22.6,STP,2024,22.8,307.637015762016,316.637015762016
22.6,STP,2021,22.8,307.637015762016,313.637015762016
22.6,STP,2023,22.9,307.637015762016,315.637015762016
22.6,STP,2020,22.6,307.637015762016,312.637015762016
23.8,SDN,2022,14.6,314.953192232604,321.953192232604
23.8,SDN,2016,22.6,314.953192232604,315.953192232604
23.8,SDN,2017,21.3,314.953192232604,316.953192232604
23.8,SDN,2015,23.8,314.953192232604,314.953192232604
23.8,SDN,2021,16,314.953192232604,320.953192232604
23.8,SDN,2018,20.1,314.953192232604,317.953192232604
23.8,SDN,2019,18.8,314.953192232604,318.953192232604
23.8,SDN,2020,17.3,314.953192232604,319.953192232604
24.4,EGY,2015,24.4,NA,NA
24.4,EGY,2025,19.9,NA,NA
24.4,EGY,2024,19.9,NA,NA
24.4,EGY,2023,19.8,NA,NA
24.4,EGY,2016,24.7,NA,NA
24.4,EGY,2022,16.4,NA,NA
24.4,EGY,2017,23.8,NA,NA
24.4,EGY,2020,15.7,NA,NA
24.4,EGY,2021,16.8,NA,NA
24.4,EGY,2019,17,NA,NA
24.4,EGY,2018,19.7,NA,NA
