y,time
5.1,0
5.2,10
5.3,20
5.4,30
5.5,40
5.6,50
5.7,60
5.8,65
5.9,70
6,75
6.1,80
6.2,85
6.3,90
6.4,95
6.5,100
6.6,105
6.7,108.333333333333
6.8,111.666666666667
6.9,115
7,118.333333333333
7.1,121.666666666667
7.2,125
7.3,128.333333333333
7.4,131.666666666667
7.5,135
7.6,138.333333333333
7.7,140.833333333333
7.8,143.333333333333
7.9,145.833333333333
8,148.333333333333
8.1,150.833333333333
8.2,153.333333333333
8.3,155.833333333333
8.4,158.333333333333
8.5,160.833333333333
8.6,162.833333333333
8.7,164.833333333333
8.8,166.833333333333
8.9,168.833333333333
9,170.833333333333
9.1,172.833333333333
9.2,174.833333333333
9.3,176.833333333333
9.4,178.833333333333
9.5,180.833333333333
9.6,182.5
9.7,184.166666666667
9.8,185.833333333333
9.9,187.5
10,189.166666666667
10.1,190.833333333333
10.2,192.5
10.3,194.166666666667
10.4,195.833333333333
10.5,197.5
10.6,198.928571428571
10.7,200.357142857143
10.8,201.785714285714
10.9,203.214285714286
11,204.642857142857
11.1,206.071428571428
11.2,207.5
11.3,208.928571428571
11.4,210.357142857143
11.5,211.785714285714
11.6,213.035714285714
11.7,214.285714285714
11.8,215.535714285714
11.9,216.785714285714
12,218.035714285714
12.1,219.285714285714
12.2,220.535714285714
12.3,221.785714285714
12.4,223.035714285714
12.5,224.285714285714
12.6,225.535714285714
12.7,226.646825396825
12.8,227.757936507936
12.9,228.869047619047
13,229.980158730159
13.1,231.09126984127
13.2,232.202380952381
13.3,233.313492063492
13.4,234.424603174603
13.5,235.535714285714
13.6,236.646825396825
13.7,237.757936507936
13.8,238.757936507936
13.9,239.757936507936
14,240.757936507936
14.1,241.757936507936
14.2,242.757936507936
14.3,243.757936507936
14.4,244.757936507936
14.5,245.757936507936
14.6,246.757936507936
14.7,247.757936507936
14.8,248.757936507936
14.9,249.667027417027
15,250.576118326118
15.1,251.485209235209
15.2,252.3943001443
15.3,253.303391053391
15.4,254.212481962482
15.5,255.121572871573
15.6,256.030663780664
15.7,256.939754689755
15.8,257.848845598845
15.9,258.757936507936
16,259.667027417027
16.1,260.576118326118
16.2,261.409451659452
16.3,262.242784992785
16.4,263.076118326118
16.5,263.909451659452
16.6,264.742784992785
16.7,265.576118326118
16.8,266.409451659451
16.9,267.242784992785
17,268.076118326118
17.1,268.909451659451
17.2,269.742784992785
17.3,270.576118326118
17.4,271.345349095349
17.5,272.11457986458
17.6,272.88381063381
17.7,273.653041403041
17.8,274.422272172272
17.9,275.191502941503
18,275.960733710733
18.1,276.729964479964
18.2,277.499195249195
18.3,278.268426018426
18.4,279.037656787657
18.5,279.806887556887
18.6,280.576118326118
18.7,281.345349095349
18.8,282.059634809635
18.9,282.77392052392
19,283.488206238206
19.1,284.202491952492
19.2,284.916777666777
19.3,285.631063381063
19.4,286.345349095349
19.5,287.059634809635
19.6,287.77392052392
19.7,288.488206238206
19.8,289.202491952492
19.9,289.916777666778
20,290.631063381063
20.1,291.345349095349
20.2,292.012015762016
20.3,292.678682428682
20.4,293.345349095349
20.5,294.012015762016
