iso_a2,series,value
MAC,SL.TLF.ACTI.FE.ZS,73.89
MAF,SL.TLF.ACTI.FE.ZS,NA
MAR,SL.TLF.ACTI.FE.ZS,21.534
MCO,SL.TLF.ACTI.FE.ZS,NA
MDA,SL.TLF.ACTI.FE.ZS,75.717
MDG,SL.TLF.ACTI.FE.ZS,84.596
MDV,SL.TLF.ACTI.FE.ZS,43.174
MEX,SL.TLF.ACTI.FE.ZS,51.877
MHL,SL.TLF.ACTI.FE.ZS,NA
MKD,SL.TLF.ACTI.FE.ZS,55.891
MLI,SL.TLF.ACTI.FE.ZS,54.321
MLT,SL.TLF.ACTI.FE.ZS,74.566
MMR,SL.TLF.ACTI.FE.ZS,45.316
MNE,SL.TLF.ACTI.FE.ZS,65.549
MNG,SL.TLF.ACTI.FE.ZS,55.723
MNP,SL.TLF.ACTI.FE.ZS,NA
MOZ,SL.TLF.ACTI.FE.ZS,77.693
MRT,SL.TLF.ACTI.FE.ZS,27.134
MUS,SL.TLF.ACTI.FE.ZS,57.134
MWI,SL.TLF.ACTI.FE.ZS,58.955
MYS,SL.TLF.ACTI.FE.ZS,56.665
NAM,SL.TLF.ACTI.FE.ZS,56.393
NCL,SL.TLF.ACTI.FE.ZS,59.71
NER,SL.TLF.ACTI.FE.ZS,73.969
NGA,SL.TLF.ACTI.FE.ZS,81.901
NIC,SL.TLF.ACTI.FE.ZS,54.641
NLD,SL.TLF.ACTI.FE.ZS,82.15
NOR,SL.TLF.ACTI.FE.ZS,77.979
NPL,SL.TLF.ACTI.FE.ZS,29.554
NRU,SL.TLF.ACTI.FE.ZS,NA
NZL,SL.TLF.ACTI.FE.ZS,79.248
OMN,SL.TLF.ACTI.FE.ZS,31.584
PAK,SL.TLF.ACTI.FE.ZS,25.582
PAN,SL.TLF.ACTI.FE.ZS,61.06
PER,SL.TLF.ACTI.FE.ZS,69.559
PHL,SL.TLF.ACTI.FE.ZS,52.77
PLW,SL.TLF.ACTI.FE.ZS,NA
PNG,SL.TLF.ACTI.FE.ZS,51.622
POL,SL.TLF.ACTI.FE.ZS,69.777
PRI,SL.TLF.ACTI.FE.ZS,50.629
PRK,SL.TLF.ACTI.FE.ZS,87.344
PRT,SL.TLF.ACTI.FE.ZS,75.958
PRY,SL.TLF.ACTI.FE.ZS,63.063
PSE,SL.TLF.ACTI.FE.ZS,NA
PYF,SL.TLF.ACTI.FE.ZS,54.185
QAT,SL.TLF.ACTI.FE.ZS,63.617
ROU,SL.TLF.ACTI.FE.ZS,57.598
RUS,SL.TLF.ACTI.FE.ZS,71.938
RWA,SL.TLF.ACTI.FE.ZS,60.126
SAU,SL.TLF.ACTI.FE.ZS,34.89
SDN,SL.TLF.ACTI.FE.ZS,NA
SEN,SL.TLF.ACTI.FE.ZS,39.178
SGP,SL.TLF.ACTI.FE.ZS,72.052
SLB,SL.TLF.ACTI.FE.ZS,84.253
SLE,SL.TLF.ACTI.FE.ZS,53.099
SLV,SL.TLF.ACTI.FE.ZS,53.29
SMR,SL.TLF.ACTI.FE.ZS,NA
SOM,SL.TLF.ACTI.FE.ZS,21.5
SRB,SL.TLF.ACTI.FE.ZS,69.137
SSD,SL.TLF.ACTI.FE.ZS,NA
STP,SL.TLF.ACTI.FE.ZS,22.763
SUR,SL.TLF.ACTI.FE.ZS,51.006
SVK,SL.TLF.ACTI.FE.ZS,72.638
SVN,SL.TLF.ACTI.FE.ZS,72.539
SWE,SL.TLF.ACTI.FE.ZS,82.283
SWZ,SL.TLF.ACTI.FE.ZS,51.246
SXM,SL.TLF.ACTI.FE.ZS,NA
SYC,SL.TLF.ACTI.FE.ZS,NA
SYR,SL.TLF.ACTI.FE.ZS,13.641
TCA,SL.TLF.ACTI.FE.ZS,NA
TCD,SL.TLF.ACTI.FE.ZS,47.525
TGO,SL.TLF.ACTI.FE.ZS,57.924
THA,SL.TLF.ACTI.FE.ZS,69.007
TJK,SL.TLF.ACTI.FE.ZS,23.223
TKM,SL.TLF.ACTI.FE.ZS,41.455
TLS,SL.TLF.ACTI.FE.ZS,62.054
TON,SL.TLF.ACTI.FE.ZS,45.028
TTO,SL.TLF.ACTI.FE.ZS,57.012
TUN,SL.TLF.ACTI.FE.ZS,30.494
TUR,SL.TLF.ACTI.FE.ZS,42.477
TUV,SL.TLF.ACTI.FE.ZS,NA
TZA,SL.TLF.ACTI.FE.ZS,81.973
UGA,SL.TLF.ACTI.FE.ZS,76.931
UKR,SL.TLF.ACTI.FE.ZS,NA
URY,SL.TLF.ACTI.FE.ZS,71.95
USA,SL.TLF.ACTI.FE.ZS,68.985
UZB,SL.TLF.ACTI.FE.ZS,45.782
VCT,SL.TLF.ACTI.FE.ZS,68.592
VEN,SL.TLF.ACTI.FE.ZS,41.579
VGB,SL.TLF.ACTI.FE.ZS,NA
VIR,SL.TLF.ACTI.FE.ZS,67.472
VNM,SL.TLF.ACTI.FE.ZS,75.123
VUT,SL.TLF.ACTI.FE.ZS,55.314
WSM,SL.TLF.ACTI.FE.ZS,33.511
XKX,SL.TLF.ACTI.FE.ZS,NA
YEM,SL.TLF.ACTI.FE.ZS,4.847
ZAF,SL.TLF.ACTI.FE.ZS,55.396
ZMB,SL.TLF.ACTI.FE.ZS,56.748
ZWE,SL.TLF.ACTI.FE.ZS,62.928
ABW,SL.TLF.ACTI.MA.ZS,NA
AFG,SL.TLF.ACTI.MA.ZS,71.079
AGO,SL.TLF.ACTI.MA.ZS,78.177
ALB,SL.TLF.ACTI.MA.ZS,82.124
AND,SL.TLF.ACTI.MA.ZS,NA
ARE,SL.TLF.ACTI.MA.ZS,92.324
ARG,SL.TLF.ACTI.MA.ZS,79.435
ARM,SL.TLF.ACTI.MA.ZS,79.695
ASM,SL.TLF.ACTI.MA.ZS,NA
ATG,SL.TLF.ACTI.MA.ZS,NA
AUS,SL.TLF.ACTI.MA.ZS,83.837
AUT,SL.TLF.ACTI.MA.ZS,82.021
AZE,SL.TLF.ACTI.MA.ZS,72.566
BDI,SL.TLF.ACTI.MA.ZS,77.32
BEL,SL.TLF.ACTI.MA.ZS,74.788
BEN,SL.TLF.ACTI.MA.ZS,78.357
BFA,SL.TLF.ACTI.MA.ZS,77.034
BGD,SL.TLF.ACTI.MA.ZS,82.615
BGR,SL.TLF.ACTI.MA.ZS,76.507
BHR,SL.TLF.ACTI.MA.ZS,87.923
BHS,SL.TLF.ACTI.MA.ZS,84.537
BIH,SL.TLF.ACTI.MA.ZS,73.598
BLR,SL.TLF.ACTI.MA.ZS,82.745
BLZ,SL.TLF.ACTI.MA.ZS,74.905
BMU,SL.TLF.ACTI.MA.ZS,NA
BOL,SL.TLF.ACTI.MA.ZS,86.027
BRA,SL.TLF.ACTI.MA.ZS,80.771
BRB,SL.TLF.ACTI.MA.ZS,80.289
BRN,SL.TLF.ACTI.MA.ZS,77.93
BTN,SL.TLF.ACTI.MA.ZS,74.477
BWA,SL.TLF.ACTI.MA.ZS,75.7
CAF,SL.TLF.ACTI.MA.ZS,82.354
CAN,SL.TLF.ACTI.MA.ZS,83.231
CHE,SL.TLF.ACTI.MA.ZS,87.266
CHI,SL.TLF.ACTI.MA.ZS,79.219
CHL,SL.TLF.ACTI.MA.ZS,79.53
CHN,SL.TLF.ACTI.MA.ZS,78.185
CIV,SL.TLF.ACTI.MA.ZS,75.254
CMR,SL.TLF.ACTI.MA.ZS,74.494
COD,SL.TLF.ACTI.MA.ZS,66.92
COG,SL.TLF.ACTI.MA.ZS,70.884
COL,SL.TLF.ACTI.MA.ZS,80.71
COM,SL.TLF.ACTI.MA.ZS,65.164
CPV,SL.TLF.ACTI.MA.ZS,67.701
CRI,SL.TLF.ACTI.MA.ZS,77.305
CUB,SL.TLF.ACTI.MA.ZS,77.216
CUW,SL.TLF.ACTI.MA.ZS,NA
CYM,SL.TLF.ACTI.MA.ZS,NA
CYP,SL.TLF.ACTI.MA.ZS,84.05
CZE,SL.TLF.ACTI.MA.ZS,82.896
DEU,SL.TLF.ACTI.MA.ZS,83.89
DJI,SL.TLF.ACTI.MA.ZS,46.529
DMA,SL.TLF.ACTI.MA.ZS,NA
DNK,SL.TLF.ACTI.MA.ZS,84.478
DOM,SL.TLF.ACTI.MA.ZS,80.204
DZA,SL.TLF.ACTI.MA.ZS,72.446
ECU,SL.TLF.ACTI.MA.ZS,80.316
EGY,SL.TLF.ACTI.MA.ZS,74.06
ERI,SL.TLF.ACTI.MA.ZS,85.775
ESP,SL.TLF.ACTI.MA.ZS,78.664
EST,SL.TLF.ACTI.MA.ZS,81.419
ETH,SL.TLF.ACTI.MA.ZS,79.558
FIN,SL.TLF.ACTI.MA.ZS,80.127
FJI,SL.TLF.ACTI.MA.ZS,79.545
FRA,SL.TLF.ACTI.MA.ZS,76.915
FRO,SL.TLF.ACTI.MA.ZS,NA
FSM,SL.TLF.ACTI.MA.ZS,NA
GAB,SL.TLF.ACTI.MA.ZS,62.235
GBR,SL.TLF.ACTI.MA.ZS,79.873
GEO,SL.TLF.ACTI.MA.ZS,78.572
GHA,SL.TLF.ACTI.MA.ZS,63.512
GIB,SL.TLF.ACTI.MA.ZS,NA
GIN,SL.TLF.ACTI.MA.ZS,63.454
GMB,SL.TLF.ACTI.MA.ZS,50.525
GNB,SL.TLF.ACTI.MA.ZS,70.199
GNQ,SL.TLF.ACTI.MA.ZS,68.817
GRC,SL.TLF.ACTI.MA.ZS,77.335
GRD,SL.TLF.ACTI.MA.ZS,NA
GRL,SL.TLF.ACTI.MA.ZS,NA
GTM,SL.TLF.ACTI.MA.ZS,83.736
