month,best_est,lat,lon
2021-03-01,4,16.79845,96.150408
2021-03-01,2,19.270435,95.439712
2021-06-01,1,21.203101,95.443613
2021-06-01,2,23.173189,94.145293
2021-05-01,3,21,96
2021-10-01,1,22.412343,95.083083
2021-10-01,1,22.790157,95.765001
2022-01-01,1,22.370025,94.788904
2022-04-01,1,22.20044,96.23234
2022-06-01,14,22.75547,95.56122
2023-02-01,25,21.937244,95.508292
2023-02-01,2,22.005837,95.828844
2023-08-01,1,22.55101,95.58726
2023-08-01,5,21.369463,95.70817
2023-08-01,1,18.547024,96.580338
2023-08-01,2,18.642877,97.654157
2023-11-01,2,19.00468,96.22151
2023-11-01,1,18.009695,97.020268
2023-11-01,1,20.4604,95.00952
2023-12-01,2,21.65287,95.41872
2023-12-01,3,21.61946,95.4099
2023-12-01,5,21.425264,95.658687
2023-01-01,1,20.5,94.75
2021-06-01,1,23.10207,94.76716
2021-06-01,30,22.95323,94.74174
2021-09-01,1,22.677301,94.089292
2021-09-01,9,21.65977,95.30809
2022-02-01,5,22.549555,93.381218
2022-01-01,1,22.549555,93.381218
2022-04-01,1,21.993269,96.099257
2022-04-01,2,21.990774,96.309892
2022-04-01,1,21.959283,96.1024
2022-04-01,1,22,96.083333
2022-04-01,1,21.56003,95.193129
2022-04-01,1,21.674599,94.882795
2022-06-01,1,22.75547,95.56122
2022-06-01,30,21.927121,94.357104
2022-06-01,5,22.279096,94.151406
2022-08-01,1,22.628791,95.233683
2022-08-01,2,22.628791,95.233683
2023-08-01,1,23.77048,93.745684
2023-08-01,1,24.23733,96.189698
2023-08-01,2,22.599436,96.913549
2023-12-01,3,24.215426,96.37562
2021-03-01,1,16.812627,96.17886
2021-06-01,1,21.41313,93.94039
2021-05-01,3,21.439827,93.762208
2021-09-01,3,21.71892,95.29385
2021-09-01,7,19.754429,97.014054
2021-09-01,9,22.279096,94.151406
2022-01-01,1,22.549555,93.381218
2022-02-01,2,17.89679,97.42094
2022-01-01,2,18.064,97.445
2022-02-01,5,23.173189,94.145293
2022-02-01,2,23.173189,94.145293
2022-02-01,2,23.304259,95.707707
2022-04-01,12,21.793826,95.343868
2022-03-01,1,25.679728,96.481155
2022-03-01,2,24.85007,96.42272
2022-03-01,2,25.312833,97.684044
2022-03-01,2,24.36914,96.61175
2022-03-01,12,24.774342,96.363573
2022-06-01,3,21.96506,95.03061
2022-06-01,2,13.924376,98.163883
2023-12-01,3,24.180646,96.330905
2023-12-01,2,20.179267,93.068563
2021-03-01,1,21.459974,95.382313
2021-03-01,2,22,96.083333
2021-03-01,1,16.883845,96.056418
2021-09-01,10,21.699683,95.256989
