year,value,iso3c
2001.13,1.12,LCN
2002.04,1.117,LCN
2002.95,1.124,LCN
2003.86,1.132,LCN
2004.77,1.131,LCN
2005.68,1.121,LCN
2006.59,1.117,LCN
2007.51,1.114,LCN
2008.42,1.106,LCN
2009.33,1.089,LCN
2010.24,1.059,LCN
2011.15,1.022,LCN
2012.06,0.982,LCN
2012.97,0.937,LCN
2013.89,0.887,LCN
2014.8,0.831,LCN
2015.71,0.771,LCN
2016.62,0.707,LCN
2017.53,0.638,LCN
2018.44,0.563,LCN
2019.35,0.483,LCN
2020.27,0.396,LCN
2021.18,0.304,LCN
2022.09,0.207,LCN
2023,0.105,LCN
1951,1.047,MEA
1951.91,1.073,MEA
1952.82,1.099,MEA
1953.73,1.125,MEA
1954.65,1.15,MEA
1955.56,1.174,MEA
1956.47,1.197,MEA
1957.38,1.219,MEA
1958.29,1.242,MEA
1959.2,1.265,MEA
1960.11,1.288,MEA
1961.03,1.31,MEA
1961.94,1.331,MEA
1962.85,1.351,MEA
1963.76,1.372,MEA
1964.67,1.395,MEA
1965.58,1.419,MEA
1966.49,1.441,MEA
1967.41,1.462,MEA
1968.32,1.485,MEA
1969.23,1.511,MEA
1970.14,1.554,MEA
1971.05,1.609,MEA
1971.96,1.666,MEA
1972.87,1.716,MEA
1973.78,1.749,MEA
1974.7,1.769,MEA
1975.61,1.801,MEA
1976.52,1.832,MEA
1977.43,1.849,MEA
1978.34,1.84,MEA
1979.25,1.807,MEA
1980.16,1.758,MEA
1981.08,1.7,MEA
1981.99,1.642,MEA
1982.9,1.591,MEA
1983.81,1.526,MEA
1984.72,1.426,MEA
1985.63,1.317,MEA
1986.54,1.228,MEA
1987.46,1.175,MEA
1988.37,1.117,MEA
1989.28,1.052,MEA
1990.19,0.992,MEA
1991.1,0.946,MEA
1992.01,0.925,MEA
1992.92,0.935,MEA
1993.84,0.967,MEA
1994.75,1.011,MEA
1995.66,1.052,MEA
1996.57,1.094,MEA
1997.48,1.173,MEA
1998.39,1.276,MEA
1999.3,1.382,MEA
2000.22,1.47,MEA
2001.13,1.52,MEA
2002.04,1.566,MEA
2002.95,1.623,MEA
2003.86,1.673,MEA
2004.77,1.697,MEA
2005.68,1.688,MEA
2006.59,1.659,MEA
2007.51,1.616,MEA
2008.42,1.564,MEA
2009.33,1.509,MEA
2010.24,1.455,MEA
2011.15,1.395,MEA
2012.06,1.324,MEA
2012.97,1.246,MEA
2013.89,1.163,MEA
2014.8,1.074,MEA
2015.71,0.977,MEA
2016.62,0.872,MEA
2017.53,0.76,MEA
2018.44,0.641,MEA
2019.35,0.517,MEA
2020.27,0.387,MEA
2021.18,0.252,MEA
2022.09,0.11,MEA
2023,-0.039,MEA
1951,1.221,NAC
1951.91,1.232,NAC
1952.82,1.244,NAC
1953.73,1.258,NAC
1954.65,1.276,NAC
1955.56,1.296,NAC
1956.47,1.319,NAC
1957.38,1.344,NAC
1958.29,1.37,NAC
1959.2,1.398,NAC
1960.11,1.425,NAC
1961.03,1.456,NAC
1961.94,1.491,NAC
1962.85,1.527,NAC
1963.76,1.564,NAC
1964.67,1.599,NAC
1965.58,1.635,NAC
1966.49,1.686,NAC
1967.41,1.741,NAC
1968.32,1.792,NAC
1969.23,1.827,NAC
1970.14,1.861,NAC
1971.05,1.898,NAC
1971.96,1.931,NAC
1972.87,1.958,NAC
1973.78,1.973,NAC
1974.7,1.972,NAC
1975.61,1.961,NAC
1976.52,1.942,NAC
1977.43,1.919,NAC
1978.34,1.894,NAC
1979.25,1.85,NAC
1980.16,1.79,NAC
1981.08,1.725,NAC
1981.99,1.665,NAC
1982.9,1.62,NAC
1983.81,1.59,NAC
1984.72,1.56,NAC
1985.63,1.531,NAC
