year,value
2000,61.24826
2001,61.48111
2002,61.80238
2003,62.12813
2004,62.45578
2005,62.80723
2006,63.13166
2007,63.44926
2008,63.76205
2009,64.29065
2010,64.81646
2011,65.32277
2012,65.88699
2013,66.4713
2014,67.0612
2015,67.65044
2016,68.24117
2017,68.81892
2018,69.39036
2019,69.94604
2020,70.47846
2021,70.99528
2022,71.508
2023,71.99074
2024,73.66861
