iso3c,date,gdp_growth
AND,1988,1.34
AND,1987,1.3
AND,1986,-1.06
AND,1985,-1.3
AND,1984,-2.33
AND,1983,-2.75
AND,1982,-2.92
AND,1981,-3.86
AND,1980,-2.01
AND,1979,-4.54
AND,1978,-3.61
AND,1977,-2.65
AND,1976,-2.53
AND,1975,-5.41
AND,1974,-0.88
AND,1973,0.91
AND,1972,1.01
AND,1971,-2.5
AGO,2024,1.29
AGO,2023,-1.81
AGO,2022,0.99
AGO,2021,-1.09
AGO,2020,-7.13
AGO,2019,-3.53
AGO,2018,-3.97
AGO,2017,-3.62
AGO,2016,-5.15
AGO,2015,-2.8
AGO,2014,0.82
AGO,2013,0.92
AGO,2012,4.37
AGO,2011,-0.36
AGO,2010,1.32
AGO,2009,-1.81
AGO,2008,6.68
AGO,2007,8.85
AGO,2006,7.8
AGO,2005,10.07
AGO,2004,7.49
AGO,2003,-0.07
AGO,2002,9.86
AGO,2001,0.77
AGO,2000,-0.3
AGO,1999,-1.13
AGO,1998,1.25
AGO,1997,3.69
AGO,1996,9.77
AGO,1995,11.22
AGO,1994,-1.89
AGO,1993,-26.37
AGO,1992,-8.87
AGO,1991,-2.34
AGO,1990,-6.67
AGO,1989,-3.32
AGO,1988,2.58
AGO,1987,0.53
AGO,1986,-0.76
AGO,1985,-0.24
AGO,1984,2.14
AGO,1983,0.4
AGO,1982,-3.61
AGO,1981,-7.82
ATG,2024,3.15
ATG,2023,1.9
ATG,2022,8.53
ATG,2021,7.58
ATG,2020,-19.29
ATG,2019,2.68
ATG,2018,6.17
ATG,2017,2.15
ATG,2016,3.47
ATG,2015,0.69
ATG,2014,1.39
ATG,2013,-1.51
ATG,2012,2.27
ATG,2011,-3.11
ATG,2010,-9.08
ATG,2009,-13.28
ATG,2008,-1.47
ATG,2007,7.84
ATG,2006,11.32
ATG,2005,5.28
ATG,2004,4.65
ATG,2003,4.92
ATG,2002,-0.24
ATG,2001,-6
ATG,2000,4.44
ATG,1999,1.94
ATG,1998,2.77
ATG,1997,3.33
ATG,1996,4.43
ATG,1995,-6.25
ATG,1994,4.67
ATG,1993,3.38
ATG,1992,-0.44
ATG,1991,1.66
ATG,1990,3.43
ATG,1989,5.75
ATG,1988,5.75
ATG,1987,7.18
ATG,1986,12.04
ATG,1985,8.13
ATG,1984,10.25
ATG,1983,5.12
ATG,1982,-0.27
ATG,1981,3.57
ATG,1980,7.76
ATG,1979,7.68
ATG,1978,4.1
ARG,2024,-1.68
ARG,2023,-2.14
ARG,2022,5.8
ARG,2021,10.15
ARG,2020,-10.34
ARG,2019,-2.7
ARG,2018,-3.42
ARG,2017,1.92
ARG,2016,-3.02
ARG,2015,1.66
ARG,2014,-3.51
ARG,2013,1.39
ARG,2012,-2.04
ARG,2011,4.88
ARG,2010,8.97
ARG,2009,-6.91
ARG,2008,3.01
ARG,2007,7.93
ARG,2006,6.94
ARG,2005,7.74
ARG,2004,7.93
ARG,2003,7.72
ARG,2002,-11.84
ARG,2001,-5.45
ARG,2000,-1.91
ARG,1999,-4.49
ARG,1998,2.64
ARG,1997,6.81
ARG,1996,4.21
ARG,1995,-4.11
ARG,1994,4.43
ARG,1993,6.75
ARG,1992,6.45
ARG,1991,7.58
ARG,1990,-3.91
ARG,1989,-8.57
ARG,1988,-2.61
ARG,1987,1.13
ARG,1986,4.52
ARG,1985,-6.67
ARG,1984,-0.03
ARG,1983,2.69
ARG,1982,-2.32
ARG,1981,-6.7
ARG,1980,-0.09
ARG,1979,8.48
ARG,1978,-6.02
ARG,1977,5.25
ARG,1976,-3.54
ARG,1975,-1.62
ARG,1974,3.81
ARG,1973,1.16
ARG,1972,0.03
ARG,1971,4.01
ARG,1970,1.45
ARG,1969,8.01
ARG,1968,3.23
ARG,1967,1.63
ARG,1966,-2.17
ARG,1965,8.85
ARG,1964,8.37
ARG,1963,-6.85
ARG,1962,-2.48
ARG,1961,3.7
ARM,2024,3.48
ARM,2023,8.48
ARM,2022,12.34
ARM,2021,5.77
ARM,2020,-7.17
ARM,2019,7.84
ARM,2018,5.57
ARM,2017,7.97
ARM,2016,0.61
ARM,2015,3.52
ARM,2014,3.88
ARM,2013,3.37
ARM,2012,7.33
ARM,2011,5.28
ARM,2010,2.91
ARM,2009,-13.51
ARM,2008,7.6
ARM,2007,14.42
ARM,2006,13.9
ARM,2005,14.57
ARM,2004,11.11
ARM,2003,14.62
ARM,2002,13.62
ARM,2001,9.92
ARM,2000,4.13
ARM,1999,4.64
ARM,1998,8.57
ARM,1997,4.35
ARM,1996,6.8
ARM,1995,8.74
ARM,1994,8.18
ARM,1993,-5.67
ARM,1992,-41.11
ARM,1991,-13.21
ABW,2024,6.18
ABW,2023,7.66
ABW,2022,11.04
ABW,2021,15.68
ABW,2020,-23.47
