iso3c,year,value,uhc
NER,2000,227.8,19
NER,2023,114.8,39
NGA,2000,182.3,30
NGA,2023,104.9,47
NIC,2000,38.2,59
NIC,2023,13.4,70
NLD,2000,6.2,77
NLD,2023,4,85
NOR,2000,4.9,73
NOR,2023,2.4,89
NPL,2000,79.2,18
NPL,2023,26.5,58
NRU,2000,41.3,39
NRU,2023,8.9,62
NZL,2000,7.4,81
NZL,2023,4.7,89
OMN,2000,16.4,73
OMN,2023,10.4,73
PAK,2000,108.1,36
PAK,2023,58.5,56
PAN,2000,25.6,70
PAN,2023,13.3,82
PER,2000,37.9,62
PER,2023,15.8,68
PHL,2000,36.9,56
PHL,2023,26.9,69
PLW,2000,26.5,69
PLW,2023,22.3,75
PNG,2000,71.9,24
PNG,2023,40.3,32
POL,2000,9.3,67
POL,2023,4.4,82
PRK,2000,100.2,70
PRK,2023,18,77
PRT,2000,7.2,81
PRT,2023,3.2,83
PRY,2000,33.6,62
PRY,2023,17,79
PSE,2000,30.3,66
PSE,2023,26.3,65
QAT,2000,12.5,81
QAT,2023,6,84
ROU,2000,21.6,63
ROU,2023,6.6,77
RUS,2000,19.4,68
RUS,2023,4.5,81
RWA,2000,184.9,18
RWA,2023,40,59
SAU,2000,22.1,74
SAU,2023,6.2,83
SDN,2000,103.4,27
SDN,2023,50.1,48
SEN,2000,129.3,24
SEN,2023,38.5,48
SGP,2000,3.8,85
SGP,2023,2.1,88
SLB,2000,30.7,38
SLB,2023,20.6,47
SLE,2000,223.7,18
SLE,2023,94.3,48
SLV,2000,32.3,69
SLV,2023,10.4,79
SMR,2000,5.4,70
SMR,2023,1.4,74
SOM,2000,172.3,14
SOM,2023,104,30
SRB,2000,12.6,56
SRB,2023,5.2,73
SSD,2000,182.7,21
SSD,2023,98.7,41
STP,2000,82.1,41
STP,2023,13.9,60
SUR,2000,31.1,59
SUR,2023,16.2,74
SVK,2000,9.6,75
SVK,2023,6.1,78
SVN,2000,5.4,77
SVN,2023,2.2,84
SWE,2000,4.1,70
SWE,2023,2.5,85
SWZ,2000,109.1,51
SWZ,2023,45,72
SYC,2000,13.8,62
SYC,2023,14.3,80
SYR,2000,23.2,66
SYR,2023,20.6,70
TCA,2000,10.7,
TCA,2023,5.6,
TCD,2000,183.6,18
TCD,2023,101.1,26
TGO,2000,119.6,21
TGO,2023,58.3,42
THA,2000,21.8,68
THA,2023,9.2,82
TJK,2000,79.7,66
TJK,2023,27.3,72
TKM,2000,69.7,76
TKM,2023,40,81
TLS,2000,110.5,30
TLS,2023,50,48
TON,2000,17,66
TON,2023,9.9,71
TTO,2000,28.8,70
TTO,2023,19.1,75
TUN,2000,29.2,61
TUN,2023,12.9,76
TUR,2000,37.4,64
TUR,2023,12.8,77
TUV,2000,42.6,57
TUV,2023,19.9,65
TZA,2000,128.4,20
TZA,2023,38.9,49
UGA,2000,145.6,24
UGA,2023,38.8,54
UKR,2000,18.3,70
UKR,2023,8.1,80
URY,2000,17,73
URY,2023,6.7,85
USA,2000,8.4,79
USA,2023,6.5,88
UZB,2000,61.5,78
UZB,2023,13.3,79
VCT,2000,22.5,67
VCT,2023,10.6,80
VEN,2000,21.5,63
VEN,2023,24.3,75
VGB,2000,16.8,
VGB,2023,12.7,
VNM,2000,29.8,52
VNM,2023,20,71
VUT,2000,26.8,46
VUT,2023,16.8,52
WSM,2000,21.2,58
WSM,2023,15.7,62
YEM,2000,93.2,41
YEM,2023,39.3,43
ZAF,2000,71.1,54
ZAF,2023,34.7,74
ZMB,2000,152.5,32
ZMB,2023,44.7,62
ZWE,2000,98.3,34
ZWE,2023,44.2,59
