iso3c,year,value,uhc
NER,2023,33.8,39
NGA,2000,46.3,30
NGA,2023,33.7,47
NIC,2000,16.6,59
NIC,2023,8.4,70
NLD,2000,3.8,77
NLD,2023,2.6,85
NOR,2000,2.7,73
NOR,2023,1.3,89
NPL,2000,40,18
NPL,2023,16.6,58
NRU,2000,24.3,39
NRU,2023,4.8,62
NZL,2000,3.5,81
NZL,2023,2.7,89
OMN,2000,7.4,73
OMN,2023,4.7,73
PAK,2000,57,36
PAK,2023,37.6,56
PAN,2000,12.2,70
PAN,2023,6.6,82
PER,2000,15.8,62
PER,2023,7.8,68
PHL,2000,16.7,56
PHL,2023,14,69
PLW,2000,14.2,69
PLW,2023,11.7,75
PNG,2000,30.5,24
PNG,2023,20.5,32
POL,2000,5.8,67
POL,2023,2.4,82
PRK,2000,37.5,70
PRK,2023,9.6,77
PRT,2000,3.4,81
PRT,2023,1.6,83
PRY,2000,18,62
PRY,2023,9.1,79
PSE,2000,17,66
PSE,2023,8.7,65
QAT,2000,6.6,81
QAT,2023,3.7,84
ROU,2000,10.4,63
ROU,2023,3.3,77
RUS,2000,9,68
RUS,2023,1.7,81
RWA,2000,43.2,18
RWA,2023,18.1,59
SAU,2000,11.6,74
SAU,2023,3,83
SDN,2000,36.9,27
SDN,2023,24.8,48
SEN,2000,37.6,24
SEN,2023,22.3,48
SGP,2000,1.6,85
SGP,2023,0.9,88
SLB,2000,12.8,38
SLB,2023,8.3,47
SLE,2000,48.1,18
SLE,2023,29.3,48
SLV,2000,14.5,69
SLV,2023,4.4,79
SMR,2000,2.6,70
SMR,2023,0.6,74
SOM,2000,44.9,14
SOM,2023,34.9,30
SRB,2000,7.7,56
SRB,2023,3.2,73
SSD,2000,56.5,21
SSD,2023,40.2,41
STP,2000,22.2,41
STP,2023,6.8,60
SUR,2000,16.9,59
SUR,2023,9.9,74
SVK,2000,5,75
SVK,2023,3,78
SVN,2000,3.2,77
SVN,2023,1.3,84
SWE,2000,2.3,70
SWE,2023,1.4,85
SWZ,2000,25.8,51
SWZ,2023,24.5,72
SYC,2000,8.7,62
SYC,2023,8.5,80
SYR,2000,12.2,66
SYR,2023,10,70
TCA,2000,5.7,
TCA,2023,2.9,
TCD,2000,44,18
TCD,2023,31.4,26
TGO,2000,36.7,21
TGO,2023,23.1,42
THA,2000,12.1,68
THA,2023,5.2,82
