iso3c,year,value,uhc
QAT,2000,11,81
QAT,2023,4,84
ROU,2000,45,63
ROU,2023,12,77
RUS,2000,51,68
RUS,2023,9,81
RWA,2000,885,18
RWA,2023,229,59
SAU,2000,20,74
SAU,2023,7,83
SDN,2000,645,27
SDN,2023,256,48
SEN,2000,581,24
SEN,2023,237,48
SGP,2000,17,85
SGP,2023,6,88
SLB,2000,166,38
SLB,2023,123,47
SLE,2000,1603,18
SLE,2023,354,48
SLV,2000,48,69
SLV,2023,39,79
SMR,2000,14,70
SMR,2023,8,74
SOM,2000,1150,14
SOM,2023,563,30
SRB,2000,16,56
SRB,2023,11,73
SSD,2000,1658,21
SSD,2023,692,41
STP,2000,180,41
STP,2023,75,60
SUR,2000,282,59
SUR,2023,84,74
SVK,2000,8,75
SVK,2023,4,78
SVN,2000,7,77
SVN,2023,3,84
SWE,2000,5,70
SWE,2023,4,85
SWZ,2000,361,51
SWZ,2023,118,72
SYC,2000,45,62
SYC,2023,42,80
SYR,2000,31,66
SYR,2023,20,70
TCD,2000,1208,18
TCD,2023,748,26
TGO,2000,496,21
TGO,2023,349,42
THA,2000,49,68
THA,2023,34,82
TJK,2000,58,66
TJK,2023,14,72
TKM,2000,25,76
TKM,2023,5,81
TLS,2000,796,30
TLS,2023,192,48
TON,2000,100,66
TON,2023,67,71
TTO,2000,76,70
TTO,2023,54,75
TUN,2000,56,61
TUN,2023,36,76
TUR,2000,32,64
TUR,2023,15,77
TUV,2000,237,57
TUV,2023,170,65
TZA,2000,568,20
TZA,2023,276,49
UGA,2000,475,24
UGA,2023,170,54
UKR,2000,32,70
UKR,2023,15,80
URY,2000,23,73
URY,2023,15,85
USA,2000,12,79
USA,2023,17,88
UZB,2000,42,78
UZB,2023,26,79
VCT,2000,68,67
VCT,2023,56,80
VEN,2000,86,63
VEN,2023,227,75
VNM,2000,83,52
VNM,2023,48,71
VUT,2000,133,46
VUT,2023,100,52
WSM,2000,93,58
WSM,2023,101,62
YEM,2000,241,41
YEM,2023,118,43
ZAF,2000,175,54
ZAF,2023,118,74
ZMB,2000,340,32
ZMB,2023,85,62
ZWE,2000,405,34
ZWE,2023,358,59
